FundingInstrumentGaLevel1,AmountGranted,FundingInstrumentGaReporting,FundingInstrumentGaReporting_De,FundingInstrumentGaReporting_Fr,FundingInstrumentGa,ResearchInstitutionType
Science communication,14810,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,13833,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,University of Teacher Education
Science communication,15000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,ETH Domain
Science communication,11310,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,13553,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,24610,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,University of applied sciences
Science communication,6184,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,21000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,11661,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,11507,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,17320,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,13060,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,14687,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,19755,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,25000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,14953,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Other
Science communication,25000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,University of applied sciences
Science communication,15000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Other
Science communication,16000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,20000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,23000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,12350,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,ETH Domain
Science communication,15000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,18995,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,12068,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,6000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,University of Teacher Education
Science communication,4431,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,11440,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,20521,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,8820,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,8199,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,15000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,14138,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,12789,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,17250,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,14050,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,17000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,17680,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,12600,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,12798,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,13335,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,University of Teacher Education
Science communication,10740,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,7600,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,21000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Other
Science communication,12405,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,15620,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,12086,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,University of applied sciences
Science communication,11583,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,10000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,14824,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Other
Science communication,9405,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,18375,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,11455,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,23000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,14941,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,12000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,10000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,8576,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,18392,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,18500,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,20000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,University of applied sciences
Science communication,8000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,18000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,University of Teacher Education
Science communication,7280,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,10700,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,18000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,14978,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,20000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,15000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,13577,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,7076,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,ETH Domain
Science communication,25000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Other
Science communication,15000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,15000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,5600,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,University of Teacher Education
Science communication,10400,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Other
Science communication,15990,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,9860,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,13494,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
